1st,prīmus,2,2024-12-02
2nd,secundus,2,2024-12-02
3rd,tertius,2,2024-12-02
4th,quārtus,2,2024-12-02
5th,quīntus,1,2024-12-02
6th,sextus,2,2024-12-02
7th,septimus,2,2024-12-02
8th,octāvus,3,2024-12-02
9th,nōnus,3,2024-12-02
10th,decimus,1,2024-12-02
11th,ūndecimus,3,2024-12-02
12,duodecimus,3,2024-12-02
13th,tertius decimus,1,2024-12-02
14th,quārtus decimus,3,2024-12-02
15th,quīntus decimus,2,2024-11-18
16th,sextus decimus,2,2024-11-19
17th,septimus decimus,2,2024-11-18
18th,duodēvīcēsimus,2,2024-11-18
19th,ūndēvīcēsimus,2,2024-11-18
20th,vīcēsimus,2,2024-11-18
21st,vīcēsimus prīmus,2,2024-11-18
22nd,vīcēsimus secundus,2,2024-11-18
I use,ūtor ūtī ūsus sum,1,2024-11-18
I bear - future,feram ferēs feret ferēmus ferētis ferent,1,2024-11-18
many,multī multae multa,1,2024-11-18
arms,arma armōrum n pl,1,2024-11-18
field,arvum arvī n,1,2024-11-18
I go - perfect tense,iī īstī iit iimus īstis iērunt,1,2024-11-18
I go - future tense - short 'u',ībō ībis ībit ībimus ībitis ībunt,1,2024-11-18
I want - present,volō vīs vult volumus vultis volunt,1,2024-11-18
I do not want - present,nōlō nōn vīs nōn vult nōlumus nōn vultis nōlunt,1,2024-11-18
I do not want - future,nōlam nōlēs nōlet nōlēmus nōlētis nōlent,1,2024-11-18
the other (of two) - learn all of it,alter altera alterum,1,2024-11-18
other - learn all of it,alius alia aliud,1,2024-11-18
I cut,secō secāre secuī sectum,1,2024-11-18
I scorch I burn I bake,torreō torrēre torruī tostum,1,2024-11-18
I eat,edō ēsse ēdī ēsum,1,2024-11-18
which of two?,uter,1,2024-11-18
of what kind,qualis,1,2024-11-18
of such a kind,talis,1,2024-11-18
how great,quantus,1,2024-11-18
so great,tantus,1,2024-11-18
from where whence,unde,1,2024-11-18
from there thence,inde,1,2024-11-18
to where thither?,quō,1,2024-11-18
to there thithe for that reason,eō,1,2024-11-18
by what way in what direction?,quā,1,2024-11-18
by that way,eā,1,2024-11-18
one or the other of two,alteruter,1,2024-11-18
each of two - both,uterque,1,2024-11-18
