prīmus,1st,2,2024-11-18
secundus,2nd,2,2024-11-18
tertius,3rd,2,2024-11-18
quārtus,4th,2,2024-11-18
quīntus,5th,2,2024-11-18
sextus,6th,2,2024-11-18
septimus,7th,2,2024-11-18
octāvus,8th,2,2024-11-18
nōnus,9th,2,2024-11-18
decimus,10th,2,2024-11-18
ūndecimus,11th,2,2024-11-18
duodecimus,12,2,2024-11-18
tertius decimus,13th,2,2024-11-19
quārtus decimus,14th,2,2024-11-18
quīntus decimus,15th,2,2024-11-18
sextus decimus,16th,2,2024-11-19
septimus decimus,17th,2,2024-11-18
duodēvīcēsimus,18th,2,2024-11-18
ūndēvīcēsimus,19th,2,2024-11-18
vīcēsimus,20th,2,2024-11-18
vīcēsimus prīmus,21st,2,2024-11-18
vīcēsimus secundus,22nd,2,2024-11-18
ūtor ūtī ūsus sum,I use,1,2024-11-18
feram ferēs feret ferēmus ferētis ferent,I bear - future,1,2024-11-18
multī multae multa,many,1,2024-11-18
arma armōrum n pl,arms,1,2024-11-18
arvum arvī n,field,1,2024-11-18
iī īstī iit iimus īstis iērunt,I go - perfect tense,1,2024-11-18
ībō ībis ībit ībimus ībitis ībunt,I go - future tense - short 'u',1,2024-11-18
volō vīs vult volumus vultis volunt,I want - present,1,2024-11-18
nōlō nōn vīs nōn vult nōlumus nōn vultis nōlunt,I do not want - present,1,2024-11-18
nōlam nōlēs nōlet nōlēmus nōlētis nōlent,I do not want - future,1,2024-11-18
alter altera alterum,the other (of two) - learn all of it,1,2024-11-18
alius alia aliud,other - learn all of it,1,2024-11-18
secō secāre secuī sectum,I cut,1,2024-11-18
torreō torrēre torruī tostum,I scorch I burn I bake,1,2024-11-18
edō ēsse ēdī ēsum,I eat,1,2024-11-18
uter,which of two?,1,2024-11-18
qualis,of what kind,1,2024-11-18
talis,of such a kind,1,2024-11-18
quantus,how great,1,2024-11-18
tantus,so great,1,2024-11-18
unde,from where whence,1,2024-11-18
inde,from there thence,1,2024-11-18
quō,to where thither?,1,2024-11-18
eō,to there thithe for that reason,1,2024-11-18
quā,by what way in what direction?,1,2024-11-18
eā,by that way,1,2024-11-18
alteruter,one or the other of two,1,2024-11-18
uterque,each of two - both,1,2024-11-18
